"name","category","platforms","angle","profileStatus","profileUrl","referencePostUrl","snapshotLikes","snapshotComments"
"Alura","competitor","Meta, Google, YouTube, LinkedIn","Educacao tech com captacao forte no Brasil","official URLs pending",,,,
"Rocketseat","competitor","Meta, Google, YouTube, LinkedIn","Dev education, launches and community","official URLs pending",,,,
"DIO","competitor","Meta, Google, LinkedIn","Bootcamps, B2C/B2B leads and developer content","official URLs pending",,,,
"Hashtag Treinamentos","competitor","Meta, Google, YouTube","Strong course funnels and free classes","official URLs pending",,,,
"EBAC","competitor","Meta, Google, TikTok","Digital courses with recurring paid traffic","official URLs pending",,,,
"Curso em Video","competitor","YouTube, Google","Developer education with strong organic authority","official URLs pending",,,,
"Data Science Academy","competitor","Google, LinkedIn, Meta","AI/data lead magnets and courses","official URLs pending",,,,
"Trybe","competitor","Meta, Google, LinkedIn","Technology education and employability","official URLs pending",,,,
"B7Web","competitor","Meta, Google, YouTube","Full-stack education with direct acquisition","official URLs pending",,,,
"DevMedia","competitor","Google, Meta","Developer content, subscriptions and courses","official URLs pending",,,,
"Fireship","creator","YouTube Long/Short","Repositories, developer tools and AI coding in a fast format","official URLs pending",,,,
"NetworkChuck","creator","YouTube Long/Short","Practical tutorials, automation and local AI","official URLs pending",,,,
"Cole Medin","creator","YouTube Long","Vibe coding, Cursor, Claude Code, MCP and agents","official URLs pending",,,,
"AI Jason","creator","YouTube Long/Short","Agents, RAG, automation and AI tools","official URLs pending",,,,
"Matt Wolfe","creator","YouTube, Instagram, TikTok","New AI tools, reviews and comparisons","official URLs pending",,,,
"Traversy Media","creator","YouTube Long","Complete AI projects for web development","official URLs pending",,,,
"Web Dev Simplified","creator","YouTube Long/Short","React, Node and TypeScript workflows with AI","official URLs pending",,,,
"Code With Harry","creator","YouTube Long/Short","AI coding for beginners and mass audiences","official URLs pending",,,,
"Bro Code","creator","YouTube Long/Short","Programming fundamentals and AI coding","official URLs pending",,,,
"The Coding Train","creator","YouTube Long/Short","Creative coding and AI experiments","official URLs pending",,,,
"drcintas","reference","Instagram","Direct creative reference for Anime Builder, Claude and Higgsfield MCP","one post verified","https://www.instagram.com/drcintas/","https://www.instagram.com/reels/Da6pU8MNaqV/","269","312"
