"repository","title","github_url","rank","topic_type","editorial_status","hook","viral_thesis","stars","forks","open_issues","language","pushed_at","pushed_label","trending_stars_today","editorial_score","social_status","broll","social_proof","source_urls","radar_updated_at"
"affaan-m/ECC","ECC","https://github.com/affaan-m/ECC","1","Otimização de agentes","Gravar agora","Este sistema promete deixar Claude, Codex e outros agentes mais rápidos, seguros e consistentes.","O próximo salto dos agentes pode vir do harness ao redor do modelo, não de um modelo maior.","252667","37907","177","JavaScript","07/09/2026 12:14:52","push há 8h","1905","95","referência direta verificada","GitHub Trending | README | skills e memória | comparação de agentes","YouTube: DevsKingdom · ECC Agent Harness · 1k views · publicado 27 AGO [https://www.youtube.com/watch?v=5ZgBoOBhHzo]","GitHub [https://github.com/affaan-m/ECC] | GitHub Trending · 1,9 mil stars hoje [https://github.com/trending] | YouTube · DevsKingdom · ECC Agent Harness · 1k views · publicado 27 AGO [https://www.youtube.com/watch?v=5ZgBoOBhHzo] | Buscar YouTube [https://www.youtube.com/results?search_query=affaan-m%20ECC%20AI] | Buscar Instagram [https://www.instagram.com/explore/search/keyword/?q=ECC%20AI] | Buscar TikTok [https://www.tiktok.com/search?q=ECC%20AI]","07/09/2026 20:21:21"
"heygen-com/hyperframes","Hyperframes","https://github.com/heygen-com/hyperframes","2","Vídeo programável para agentes","Gravar agora","Agora um agente pode escrever HTML e transformar esse código em um vídeo renderizado.","A edição de vídeo está virando uma tarefa programável e operável por agentes.","45592","4301","171","TypeScript","07/09/2026 20:07:55","push há 0h","734","90","referência direta verificada","demo oficial | HTML virando vídeo | timeline programática | GitHub Trending","YouTube: HeyGen · fluxo de agentes com Hyperframes · 10,9k views · publicado 22 MAI [https://www.youtube.com/watch?v=9yx8Ja1gztI]","GitHub [https://github.com/heygen-com/hyperframes] | GitHub Trending · 734 stars hoje [https://github.com/trending] | YouTube · HeyGen · fluxo de agentes com Hyperframes · 10,9k views · publicado 22 MAI [https://www.youtube.com/watch?v=9yx8Ja1gztI] | Buscar YouTube [https://www.youtube.com/results?search_query=heygen-com%20hyperframes%20AI] | Buscar Instagram [https://www.instagram.com/explore/search/keyword/?q=Hyperframes%20AI] | Buscar TikTok [https://www.tiktok.com/search?q=Hyperframes%20AI]","07/09/2026 20:21:21"
"coreyhaines31/marketingskills","Marketing Skills","https://github.com/coreyhaines31/marketingskills","3","Skills de marketing","Gravar agora","Este repo transforma copy, SEO, CRO e analytics em habilidades reutilizáveis por agentes.","Times de marketing estão começando a ser empacotados como infraestrutura para agentes.","48036","7425","106","JavaScript","05/09/2026 04:48:10","push há 3d","602","83","referência direta verificada","diretório de skills | README | exemplos de copy e CRO | GitHub Trending","YouTube: The Next New Thing · skills para Claude · 53k views · publicado 11 FEV [https://www.youtube.com/watch?v=YajqB9RDdzI]","GitHub [https://github.com/coreyhaines31/marketingskills] | GitHub Trending · 602 stars hoje [https://github.com/trending] | YouTube · The Next New Thing · skills para Claude · 53k views · publicado 11 FEV [https://www.youtube.com/watch?v=YajqB9RDdzI] | Buscar YouTube [https://www.youtube.com/results?search_query=coreyhaines31%20marketingskills%20AI] | Buscar Instagram [https://www.instagram.com/explore/search/keyword/?q=Marketing%20Skills%20AI] | Buscar TikTok [https://www.tiktok.com/search?q=Marketing%20Skills%20AI]","07/09/2026 20:21:21"
"jo-inc/camofox-browser","CamoFox Browser","https://github.com/jo-inc/camofox-browser","4","Navegador para agentes","Monitorar hoje","Este navegador headless foi criado para agentes acessarem páginas que bloqueiam automação comum.","A guerra entre agentes navegadores e sistemas antibot está criando uma nova camada de infraestrutura.","9575","1011","125","JavaScript","06/09/2026 03:30:20","push há 2d","285","79","referência direta verificada","terminal | README | demo de navegação | comparação com Playwright","YouTube: Build Things With AI · CamoFox entre repos em alta · 1,8k views · publicado 02 MAI [https://www.youtube.com/watch?v=Hs-xdoaGH5o]","GitHub [https://github.com/jo-inc/camofox-browser] | GitHub Trending · 285 stars hoje [https://github.com/trending] | YouTube · Build Things With AI · CamoFox entre repos em alta · 1,8k views · publicado 02 MAI [https://www.youtube.com/watch?v=Hs-xdoaGH5o] | Buscar YouTube [https://www.youtube.com/results?search_query=jo-inc%20camofox-browser%20AI] | Buscar Instagram [https://www.instagram.com/explore/search/keyword/?q=CamoFox%20Browser%20AI] | Buscar TikTok [https://www.tiktok.com/search?q=CamoFox%20Browser%20AI]","07/09/2026 20:21:21"
"mksglu/context-mode","context-mode","https://github.com/mksglu/context-mode","5","Novo no GitHub Trending","Monitorar hoje","Este repositório ganhou 147 estrelas hoje e entrou no radar dos desenvolvedores.","Context window optimization for AI coding agents. Sandboxes tool output (98% reduction), persists session memory, and   enforces routing across 17 platforms via MCP + hooks.","20746","1517","213","TypeScript","07/09/2026 12:06:52","push há 8h","147","66","sem post direto verificado — precisa varredura social","GitHub Trending | README | demo oficial | histórico do projeto",,"GitHub [https://github.com/mksglu/context-mode] | GitHub Trending · 147 stars hoje [https://github.com/trending] | Buscar YouTube [https://www.youtube.com/results?search_query=mksglu%20context-mode%20AI] | Buscar Instagram [https://www.instagram.com/explore/search/keyword/?q=context-mode%20AI] | Buscar TikTok [https://www.tiktok.com/search?q=context-mode%20AI]","07/09/2026 20:21:21"
"The-Swarm-Corporation/AutoHedge","AutoHedge","https://github.com/The-Swarm-Corporation/AutoHedge","6","Novo no GitHub Trending","Gravar agora","Este repositório ganhou 541 estrelas hoje e entrou no radar dos desenvolvedores.","Build your autonomous hedge fund in minutes. AutoHedge harnesses the power of swarm intelligence and AI agents to automate market analysis, risk management, and trade execution.","5183","798","18","Python","11/05/2026 05:44:09","push há 120d","541","65","sem post direto verificado — precisa varredura social","GitHub Trending | README | demo oficial | histórico do projeto",,"GitHub [https://github.com/The-Swarm-Corporation/AutoHedge] | GitHub Trending · 541 stars hoje [https://github.com/trending] | Buscar YouTube [https://www.youtube.com/results?search_query=The-Swarm-Corporation%20AutoHedge%20AI] | Buscar Instagram [https://www.instagram.com/explore/search/keyword/?q=AutoHedge%20AI] | Buscar TikTok [https://www.tiktok.com/search?q=AutoHedge%20AI]","07/09/2026 20:21:21"
"NousResearch/hermes-agent","Hermes Agent","https://github.com/NousResearch/hermes-agent","7","Agente open-source","Gravar agora","Enquanto todo mundo usa chatbot, esse agente open-source aprende a trabalhar com você.","Agentes autônomos abertos desafiam o assistente fechado.","243005","50016","40540","Python","07/09/2026 20:20:31","push há 0h",,"65","referência direta verificada","GitHub | terminal | tutorial | exemplos de automação","YouTube: Metics Media · tutorial completo · 225k views · publicado 31 AGO [https://www.youtube.com/watch?v=DYdvJCxWd6M]","GitHub [https://github.com/NousResearch/hermes-agent] | YouTube · Metics Media · tutorial completo · 225k views · publicado 31 AGO [https://www.youtube.com/watch?v=DYdvJCxWd6M] | Buscar YouTube [https://www.youtube.com/results?search_query=NousResearch%20hermes-agent%20AI] | Buscar Instagram [https://www.instagram.com/explore/search/keyword/?q=Hermes%20Agent%20AI] | Buscar TikTok [https://www.tiktok.com/search?q=Hermes%20Agent%20AI]","07/09/2026 20:21:21"
"tt-a1i/archify","archify","https://github.com/tt-a1i/archify","8","Ferramenta visual para dev","Gravar agora","Esse repo lê seu código e desenha a arquitetura inteira sozinho.","A IA deixa de explicar código e passa a torná-lo visual.","52623","3438","131","JavaScript","07/09/2026 12:34:58","push há 8h",,"62","referência direta verificada","demo oficial | mapa interativo | README | código virando diagrama","YouTube: The Next New Thing · Archify entre os repos em alta · 111k views · publicado 04 SET [https://www.youtube.com/watch?v=AWzzmrCPe-A]","GitHub [https://github.com/tt-a1i/archify] | YouTube · The Next New Thing · Archify entre os repos em alta · 111k views · publicado 04 SET [https://www.youtube.com/watch?v=AWzzmrCPe-A] | Buscar YouTube [https://www.youtube.com/results?search_query=tt-a1i%20archify%20AI] | Buscar Instagram [https://www.instagram.com/explore/search/keyword/?q=archify%20AI] | Buscar TikTok [https://www.tiktok.com/search?q=archify%20AI]","07/09/2026 20:21:21"
"mattpocock/skills","Skills para agentes","https://github.com/mattpocock/skills","9","Skills para agentes","Gravar agora","O jeito de programar com IA mudou: quem ainda usa só prompt está ficando para trás.","Conhecimento de engenharia virou infraestrutura reutilizável para agentes.","256007","21557","471","Shell","04/09/2026 08:45:43","push há 4d",,"59","referência direta verificada","README | diretório .agents | GitHub Trending | vídeo do criador","YouTube: Matt Pocock · workflow completo · 424k views · publicado 16 JUL [https://www.youtube.com/watch?v=M6mYodf0dJM]","GitHub [https://github.com/mattpocock/skills] | YouTube · Matt Pocock · workflow completo · 424k views · publicado 16 JUL [https://www.youtube.com/watch?v=M6mYodf0dJM] | Buscar YouTube [https://www.youtube.com/results?search_query=mattpocock%20skills%20AI] | Buscar Instagram [https://www.instagram.com/explore/search/keyword/?q=Skills%20para%20agentes%20AI] | Buscar TikTok [https://www.tiktok.com/search?q=Skills%20para%20agentes%20AI]","07/09/2026 20:21:21"
"K-Dense-AI/scientific-agent-skills","scientific-agent-skills","https://github.com/K-Dense-AI/scientific-agent-skills","10","Agentes científicos","Usar como comparação","A próxima geração de cientistas talvez seja uma coleção de skills.","Skills especializadas transformam agentes em operadores de pesquisa.","43600","3969","32","Python","07/09/2026 09:35:27","push há 11h",,"59","referência direta verificada","diretório de skills | K-Dense | paper | demo","YouTube: K-Dense · skills científicas · 13,5k views · publicado 18 FEV [https://www.youtube.com/watch?v=ZxbnDaD_FVg]","GitHub [https://github.com/K-Dense-AI/scientific-agent-skills] | YouTube · K-Dense · skills científicas · 13,5k views · publicado 18 FEV [https://www.youtube.com/watch?v=ZxbnDaD_FVg] | Buscar YouTube [https://www.youtube.com/results?search_query=K-Dense-AI%20scientific-agent-skills%20AI] | Buscar Instagram [https://www.instagram.com/explore/search/keyword/?q=scientific-agent-skills%20AI] | Buscar TikTok [https://www.tiktok.com/search?q=scientific-agent-skills%20AI]","07/09/2026 20:21:21"
